"Gene" "Common ID or description"
"6698" "ostta15g02390" "Rubisco LS methyltransferase, substrate-binding domain              "
"6699" "ostta15g02400" "unnamed product                 "
"6700" "ostta15g02410" "Tubulin binding cofactor C               "
"6701" "ostta15g02420" "Cyclophilin-like peptidyl-prolyl cis-trans isomerase domain              "
"6702" "ostta15g02430" "unnamed product                 "
"6703" "ostta15g02440" " n/a  unnamed product              "
"6704" "ostta15g02450" "ABC transporter, conserved site n/a  ABC transporter, conserved site         "
"6705" "ostta15g02455" "Mitochodrial transcription termination factor-related n/a  Mitochodrial transcription termination factor-related         "
"6706" "ostta15g02460" "Type I phosphodiesterase/nucleotide pyrophosphatase/phosphate transferase   Type I phosphodiesterase/nucleotide pyrophosphatase/phosphate transferase   Type I phosphodiesterase/nucleotide pyrophosphatase/phosphate transferase"
"6707" "ostta15g02470" "DnaJ domain n/a  DnaJ domain             "
"6708" "ostta15g02475" " n/a  hypothetical protein              "
"6709" "ostta15g02480" "unnamed product                 "
"6710" "ostta15g02490" "Peroxin-3                  "
"6711" "ostta15g02500" "Patatin/Phospholipase A2-related                 "
"6712" "ostta15g02510" "Lipopolysaccharide-modifying protein                 "
"6713" "ostta15g02520" "Alpha-D-phosphohexomutase, alpha/beta/alpha I/II/III                "
"6714" "ostta15g02530" "Protein of unknown function DUF3743              "
"6715" "ostta15g02540" "Immunoglobulin-like fold                 "
"6716" "ostta15g02550" "Alcohol dehydrogenase superfamily, zinc-type               "
"6717" "ostta15g02555" "Molybdenum cofactor sulfurase, C-terminal n/a  Molybdenum cofactor sulfurase, C-terminal         "
"6718" "ostta15g02560" "2-phosphoglycolate phosphatase, eukaryotic n/a  2-phosphoglycolate phosphatase, eukaryotic           "
"6719" "ostta15g02570" "Nuclear condensin complex subunit 3 C-terminal domain n/a  Nuclear condensin complex subunit 3 C-terminal domain   "
"6720" "ostta15g02580" "Tetratricopeptide repeat-containing domain                "
"6721" "ostta15g02590" "unnamed product                 "
"6722" "ostta15g02620" "ATP12, ATPase F1F0-assembly protein               "
"6723" "ostta15g02630" "Ankyrin repeat domain-containing protein 13              "
"6724" "ostta15g02640" "Resolvase, holliday junction-type, YqgF-like               "
"6725" "ostta15g02650" "unnamed product                 "
"6726" "ostta15g02660" "Apoptosis-antagonizing transcription factor, C-terminal               "
"6727" "ostta15g02670" "Photosystem I PsaD                "
"6728" "ostta15g02680" "Rubrerythrin                  "
"6729" "ostta15g02690" "unnamed product                 "
"6730" "ostta15g02700" "LPS-induced tumor necrosis factor alpha factor             "
"6731" "ostta15g02710" "unnamed product                 "
"6732" "ostta15g02720" "Parkin co-regulated protein                "
"6733" "ostta15g02730" "Tetratricopeptide repeat                 "
"6734" "ostta15g02740" "WD40 repeat                 "
"6735" "ostta15g02750" "High mobility group box domain n/a  High mobility group box domain       "
"6736" "ostta15g02760" "Multiprotein bridging factor 1 N-terminal n/a  Multiprotein bridging factor 1 N-terminal       "
"6737" "ostta15g02770" "unnamed product                 "
"6738" "ostta15g02780" "Defective-in-cullin neddylation protein                "
"6739" "ostta15g02790" "Phospholipid/glycerol acyltransferase n/a  Phospholipid/glycerol acyltransferase n/a  Phospholipid/glycerol acyltransferase n/a  Phospholipid/glycerol acyltransferase     "
"6740" "ostta15g02795" "PDZ domain n/a  PDZ domain             "
"6741" "ostta15g02800" "Leucine-rich repeat n/a  Leucine-rich repeat             "
"6742" "ostta15g02805" "Domain of unknown function DUF1084 n/a  Domain of unknown function DUF1084       "
"6743" "ostta15g02810" "Glutamate 5-kinase n/a  Glutamate 5-kinase             "
"6744" "ostta15g02820" "Origin recognition complex, subunit 2              "
"6745" "ostta15g02830" "unnamed product                 "
"6746" "ostta15g02840" "P-loop containing nucleoside triphosphate hydrolase              "
"6747" "ostta15g02850" "Serine/threonine-protein kinase, active site               "
"6748" "ostta15g02860" "Protein of unknown function DUF3419              "
"6749" "ostta15g02870" "Ribosomal protein L24e-related                "
"6750" "ostta15g02875" "Thioredoxin-like fold n/a  Thioredoxin-like fold             "
"6751" "ostta15g02880" "Endonuclease III-like, iron-sulphur cluster loop motif n/a  Endonuclease III-like, iron-sulphur cluster loop motif     "
"6752" "ostta15g02890" "unnamed product                 "
"6753" "ostta15g02900" "Glycine cleavage H-protein, subgroup n/a  Glycine cleavage H-protein, subgroup         "
"6754" "ostta15g02905" " n/a  hypothetical protein              "
"6755" "ostta15g02910" "unnamed product                 "
"6756" "ostta15g02920" "P2X purinoreceptor                 "
"6757" "ostta15g02930" "Peptidase S9A, prolyl oligopeptidase               "
"6758" "ostta16g00010" "unnamed product                 "
"6759" "ostta16g00020" "P-loop containing nucleoside triphosphate hydrolase              "
"6760" "ostta16g00030" "Peptidase C14, caspase catalytic               "
"6761" "ostta16g00040" "AMP-dependent synthetase/ligase n/a  AMP-dependent synthetase/ligase             "
"6762" "ostta16g00050" "Rubisco LS methyltransferase, substrate-binding domain n/a  Rubisco LS methyltransferase, substrate-binding domain n/a  Rubisco LS methyltransferase, substrate-binding domain"
"6763" "ostta16g00060" "Triose-phosphate transporter domain n/a  Triose-phosphate transporter domain n/a  Triose-phosphate transporter domain      "
"6764" "ostta16g00070" "Ribosomal protein S27e, zinc-binding domain n/a  Ribosomal protein S27e, zinc-binding domain n/a  Ribosomal protein S27e, zinc-binding domain"
"6765" "ostta16g00080" "unnamed product                 "
"6766" "ostta16g00090" "Cadherin-like beta sandwich domain               "
"6767" "ostta16g00100" "Ribosomal RNA-processing protein 7               "
"6768" "ostta16g00110" "unnamed product                 "
"6769" "ostta16g00120" "unnamed product                 "
"6770" "ostta16g00130" "unnamed product                 "
"6771" "ostta16g00140" " n/a  unnamed product              "
"6772" "ostta16g00150" "unnamed product                 "
"6773" "ostta16g00160" "Heavy metal-associated domain, HMA               "
"6774" "ostta16g00170" "Calycin-like                  "
"6775" "ostta16g00180" "Flavoprotein pyridine nucleotide cytochrome reductase              "
"6776" "ostta16g00190" "RmlC-like jelly roll fold n/a  RmlC-like jelly roll fold n/a  RmlC-like jelly roll fold n/a  RmlC-like"
"6777" "ostta16g00200" "Exocyst complex, component 1/SEC3 n/a  Exocyst complex, component 1/SEC3         "
"6778" "ostta16g00210" "Condensin complex subunit 2/barren               "
"6779" "ostta16g00220" "Tetratricopeptide repeat n/a  Tetratricopeptide repeat             "
"6780" "ostta16g00230" "unnamed product                 "
"6781" "ostta16g00240" "Serine/threonine-protein kinase, active site               "
"6782" "ostta16g00250" "Helicase, C-terminal n/a  Helicase, C-terminal             "
"6783" "ostta16g00260" "HSP20-like chaperone                 "
"6784" "ostta16g00270" "unnamed product                 "
"6785" "ostta16g00280" "unnamed product                 "
"6786" "ostta16g00290" "Inorganic pyrophosphatase                 "
"6787" "ostta16g00300" "Zinc finger, C2H2                "
"6788" "ostta16g00310" "unnamed product                 "
"6789" "ostta16g00320" "Peptidyl-prolyl cis-trans isomerase, FKBP-type, domain              "
"6790" "ostta16g00330" "Ribosomal protein L4/L1e n/a  Ribosomal protein L4/L1e           "
"6791" "ostta16g00340" "Lipopolysaccharide-modifying protein                 "
"6792" "ostta16g00350" "Oxoglutarate/iron-dependent dioxygenase                 "
"6793" "ostta16g00360" "Zinc finger, PHD-finger                "
"6794" "ostta16g00370" "Cytochrome b561/ferric reductase transmembrane               "
"6795" "ostta16g00380" "Methyltransferase type 11                "
"6796" "ostta16g00390" "Ribonucleoprotein LSM domain, eukaryotic/archaea-type n/a  Ribonucleoprotein LSM domain, eukaryotic/archaea-type         "
"6797" "ostta16g00400" "Armadillo-type fold n/a  Armadillo-type fold             "
"6798" "ostta16g00405" "Ribosomal protein L7/L12, C-terminal n/a  Ribosomal protein L7/L12, C-terminal         "
"6799" "ostta16g00410" "unnamed product                 "
"6800" "ostta16g00420" "Ferredoxin thioredoxin reductase beta subunit, domain n/a  Ferredoxin thioredoxin reductase beta subunit, domain     "
"6801" "ostta16g00430" "Actin/actin-like conserved site n/a  Actin/actin-like conserved site           "
"6802" "ostta16g00440" "Glycosyl hydrolase, family 13 catalytic domain             "
"6803" "ostta16g00450" "Chlorophyll A-B binding protein, plant              "
"6804" "ostta16g00460" "unnamed product                 "
"6805" "ostta16g00470" "Glutathione S-transferase, N-terminal                "
"6806" "ostta16g00480" "Pyruvate kinase, barrel                "
"6807" "ostta16g00490" "unnamed product                 "
"6808" "ostta16g00500" "unnamed product                 "
"6809" "ostta16g00510" "UDP-glucuronosyl/UDP-glucosyltransferase                  "
"6810" "ostta16g00515" "GIY-YIG nuclease superfamily n/a  GIY-YIG nuclease superfamily           "
"6811" "ostta16g00520" "2-oxoglutarate dehydrogenase, E1 component n/a  2-oxoglutarate dehydrogenase, E1 component         "
"6812" "ostta16g00530" "Ribosomal protein L14b/L23e                "
"6813" "ostta16g00540" "CAAX amino terminal protease n/a  CAAX amino terminal protease n/a  CAAX amino terminal protease   "
"6814" "ostta16g00545" "Adaptor protein complex, sigma subunit n/a  Adaptor protein complex, sigma subunit       "
"6815" "ostta16g00550" "Pyruvate kinase, barrel n/a  Pyruvate kinase, barrel           "
"6816" "ostta16g00560" "Dihydrodipicolinate reductase, N-terminal                "
"6817" "ostta16g00570" "unnamed product                 "
"6818" "ostta16g00580" "DNAJ-containing protein, X-domain n/a  DNAJ-containing protein, X-domain           "
"6819" "ostta16g00590" "Flavin amine oxidase                "
"6820" "ostta16g00600" "Serine/threonine-protein kinase, active site               "
"6821" "ostta16g00610" "Ribosomal RNA methyltransferase, Spb1, C-terminal n/a  Ribosomal RNA methyltransferase, Spb1, C-terminal       "
"6822" "ostta16g00620" "MRG domain                 "
"6823" "ostta16g00630" "UV radiation resistance protein/autophagy-related protein 14             "
"6824" "ostta16g00640" "P-loop containing nucleoside triphosphate hydrolase              "
"6825" "ostta16g00650" "Photosystem II Psb28, class 1              "
"6826" "ostta16g00660" "Violaxanthin de-epoxidase                 "
"6827" "ostta16g00670" "Monooxygenase, FAD-binding                 "
"6828" "ostta16g00680" "unnamed product                 "
"6829" "ostta16g00690" "Forkhead-associated FHA domain                "
"6830" "ostta16g00700" "Digestive organ expansion factor, predicted              "
"6831" "ostta16g00710" "Aminotransferases, class-I, pyridoxal-phosphate-binding site               "
"6832" "ostta16g00720" "Protein of unknown function UPF0568              "
"6833" "ostta16g00730" "Acyl-CoA N-acyltransferase                 "
"6834" "ostta16g00740" "Winged helix-turn-helix DNA-binding domain n/a  Winged helix-turn-helix DNA-binding domain         "
"6835" "ostta16g00750" "unnamed product                 "
"6836" "ostta16g00760" "UBA-like n/a  UBA-like               "
"6837" "ostta16g00765" "Ubiquitin supergroup n/a  Ubiquitin supergroup             "
"6838" "ostta16g00770" "Ribosomal protein S6                "
"6839" "ostta16g00780" "Cleavage/polyadenylation specificity factor, A subunit, C-terminal             "
"6840" "ostta16g00790" "unnamed product                 "
"6841" "ostta16g00800" "Lipopolysaccharide-modifying protein                 "
"6842" "ostta16g00810" "Capsular polysaccharide synthesis                "
"6843" "ostta16g00820" "UDP-galactose transporter                 "
"6844" "ostta16g00830" "P-loop containing nucleoside triphosphate hydrolase              "
"6845" "ostta16g00840" "unnamed product                 "
"6846" "ostta16g00850" "START-like domain                 "
"6847" "ostta16g00860" "Quinonprotein alcohol dehydrogenase-like superfamily               "
"6848" "ostta16g00870" "PBS lyase HEAT-like repeat               "
"6849" "ostta16g00880" "Nucleotide-binding, alpha-beta plait                "
"6850" "ostta16g00890" "unnamed product                 "
"6851" "ostta16g00900" "unnamed product                 "
"6852" "ostta16g00910" "Diacylglycerol acyltransferase                 "
"6853" "ostta16g00920" "EF-Hand 1 calcium-binding site               "
"6854" "ostta16g00930" "Alternative oxidase                 "
"6855" "ostta16g00940" "Methyltransferase domain                 "
"6856" "ostta16g00950" "Smr protein/MutS2 C-terminal                "
"6857" "ostta16g00960" "Patatin/Phospholipase A2-related                 "
"6858" "ostta16g00970" "Zinc finger, C2H2                "
"6859" "ostta16g00980" "Pseudouridine synthase, RsuA/RluB/C/D/E/F                "
"6860" "ostta16g00990" "NMD3                  "
"6861" "ostta16g01000" "unnamed product                 "
"6862" "ostta16g01010" "Acylneuraminate cytidylyltransferase                 "
"6863" "ostta16g01020" "Mitochondrial substrate/solute carrier                "
"6864" "ostta16g01030" "Aminoglycoside phosphotransferase                 "
"6865" "ostta16g01040" "Glycoside hydrolase, family 47               "
