Gene ID	GO	KO	PFAM
ME000152S01217	ME000152S01217	<a href="http://amigo.geneontology.org/amigo/term/GO:0008168" target="_blank">methyltransferase activity (GO:0008168)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF08241" target="_blank">PF08241</a> <a href="http://pfam.xfam.org/family/PF03141" target="_blank">PF03141</a>
ME000152S01218	ME000152S01218	<a href="http://amigo.geneontology.org/amigo/term/GO:0008964" target="_blank">phosphoenolpyruvate carboxylase activity (GO:0008964)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006099" target="_blank">tricarboxylic acid cycle (GO:0006099)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015977" target="_blank">carbon fixation (GO:0015977)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00311" target="_blank">PF00311</a>
ME000152S01220	ME000152S01220	<a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">structural constituent of ribosome (GO:0003735)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">translation (GO:0006412)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">ribosome (GO:0005840)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02901" target="_blank">K02901</a>	<a href="http://pfam.xfam.org/family/PF01777" target="_blank">PF01777</a>
ME000152S01223	ME000152S01223	<a href="http://amigo.geneontology.org/amigo/term/GO:0008375" target="_blank">acetylglucosaminyltransferase activity (GO:0008375)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006486" target="_blank">protein glycosylation (GO:0006486)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00726" target="_blank">K00726</a>	<a href="http://pfam.xfam.org/family/PF03071" target="_blank">PF03071</a>
ME000152S01224	ME000152S01224	<a href="http://amigo.geneontology.org/amigo/term/GO:0003723" target="_blank">RNA binding (GO:0003723)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K12882" target="_blank">K12882</a>	<a href="http://pfam.xfam.org/family/PF02854" target="_blank">PF02854</a>
ME000152S01226	ME000152S01226	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF13855" target="_blank">PF13855</a> <a href="http://pfam.xfam.org/family/PF00240" target="_blank">PF00240</a> <a href="http://pfam.xfam.org/family/PF00560" target="_blank">PF00560</a>
ME000152S01227	ME000152S01227	<a href="http://amigo.geneontology.org/amigo/term/GO:0004812" target="_blank">aminoacyl-tRNA ligase activity (GO:0004812)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0043039" target="_blank">tRNA aminoacylation (GO:0043039)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01885" target="_blank">K01885</a>	<a href="http://pfam.xfam.org/family/PF00749" target="_blank">PF00749</a>
ME000152S01228	ME000152S01228	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K10260" target="_blank">K10260</a>	<a href="http://pfam.xfam.org/family/PF00400" target="_blank">PF00400</a>
ME000152S01229	ME000152S01229	<a href="http://amigo.geneontology.org/amigo/term/GO:0000213" target="_blank">tRNA-intron endonuclease activity (GO:0000213)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006388" target="_blank">tRNA splicing, via endonucleolytic cleavage and ligation (GO:0006388)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K15322" target="_blank">K15322</a>	<a href="http://pfam.xfam.org/family/PF01974" target="_blank">PF01974</a> <a href="http://pfam.xfam.org/family/PF02778" target="_blank">PF02778</a>
ME000152S01230	ME000152S01230	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K10756" target="_blank">K10756</a>	<a href="http://pfam.xfam.org/family/PF13177" target="_blank">PF13177</a> <a href="http://pfam.xfam.org/family/PF00004" target="_blank">PF00004</a>
ME000152S01233	ME000152S01233	<a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K13348" target="_blank">K13348</a>	<a href="http://pfam.xfam.org/family/PF04117" target="_blank">PF04117</a>
ME000152S01239	ME000152S01239	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K11665" target="_blank">K11665</a>	<a href="http://pfam.xfam.org/family/PF00176" target="_blank">PF00176</a> <a href="http://pfam.xfam.org/family/PF13892" target="_blank">PF13892</a> <a href="http://pfam.xfam.org/family/PF00271" target="_blank">PF00271</a>
ME000152S01240	ME000152S01240	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00107" target="_blank">PF00107</a> <a href="http://pfam.xfam.org/family/PF08240" target="_blank">PF08240</a>
ME000152S01241	ME000152S01241	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K14515" target="_blank">K14515</a>	<a href="http://pfam.xfam.org/family/PF13516" target="_blank">PF13516</a>
ME000152S01242	ME000152S01242	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF02213" target="_blank">PF02213</a>
ME000152S01245	ME000152S01245	<a href="http://amigo.geneontology.org/amigo/term/GO:0008536" target="_blank">Ran GTPase binding (GO:0008536)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006886" target="_blank">intracellular protein transport (GO:0006886)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K14293" target="_blank">K14293</a>	<a href="http://pfam.xfam.org/family/PF13513" target="_blank">PF13513</a> <a href="http://pfam.xfam.org/family/PF03810" target="_blank">PF03810</a>
ME000152S01246	ME000152S01246	<a href="http://amigo.geneontology.org/amigo/term/GO:0008168" target="_blank">methyltransferase activity (GO:0008168)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00591" target="_blank">K00591</a>	<a href="http://pfam.xfam.org/family/PF13489" target="_blank">PF13489</a> <a href="http://pfam.xfam.org/family/PF08241" target="_blank">PF08241</a> <a href="http://pfam.xfam.org/family/PF13649" target="_blank">PF13649</a> <a href="http://pfam.xfam.org/family/PF13847" target="_blank">PF13847</a> <a href="http://pfam.xfam.org/family/PF08242" target="_blank">PF08242</a> <a href="http://pfam.xfam.org/family/PF02353" target="_blank">PF02353</a> <a href="http://pfam.xfam.org/family/PF06325" target="_blank">PF06325</a> <a href="http://pfam.xfam.org/family/PF01209" target="_blank">PF01209</a>
ME000152S01250	ME000152S01250	<a href="http://amigo.geneontology.org/amigo/term/GO:0009055" target="_blank">electron transfer activity (GO:0009055)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0020037" target="_blank">heme binding (GO:0020037)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K08738" target="_blank">K08738</a>	<a href="http://pfam.xfam.org/family/PF00034" target="_blank">PF00034</a>
ME000152S01251	ME000152S01251	<a href="http://amigo.geneontology.org/amigo/term/GO:0004553" target="_blank">hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009254" target="_blank">peptidoglycan turnover (GO:0009254)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0019867" target="_blank">outer membrane (GO:0019867)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF06725" target="_blank">PF06725</a>
ME000152S01253	ME000152S01253	<a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K24527" target="_blank">K24527</a>	<a href="http://pfam.xfam.org/family/PF00076" target="_blank">PF00076</a>
ME000152S01258	ME000152S01258	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00121" target="_blank">K00121</a>	<a href="http://pfam.xfam.org/family/PF08240" target="_blank">PF08240</a> <a href="http://pfam.xfam.org/family/PF00107" target="_blank">PF00107</a>
ME000152S01260	ME000152S01260	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF02985" target="_blank">PF02985</a>
ME000152S01265	ME000152S01265	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00917" target="_blank">PF00917</a>
ME000152S01266	ME000152S01266	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF13185" target="_blank">PF13185</a> <a href="http://pfam.xfam.org/family/PF01590" target="_blank">PF01590</a>
ME000152S01268	ME000152S01268	<a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006334" target="_blank">nucleosome assembly (GO:0006334)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000786" target="_blank">nucleosome (GO:0000786)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0042025" target="_blank">host cell nucleus (GO:0042025)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K11275" target="_blank">K11275</a>	<a href="http://pfam.xfam.org/family/PF00538" target="_blank">PF00538</a>
ME000152S01270	ME000152S01270	<a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00098" target="_blank">PF00098</a>
ME000152S01271	ME000152S01271	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF13602" target="_blank">PF13602</a> <a href="http://pfam.xfam.org/family/PF00107" target="_blank">PF00107</a>
ME000152S01272	ME000152S01272	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030983" target="_blank">mismatched DNA binding (GO:0030983)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006298" target="_blank">mismatch repair (GO:0006298)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF16413" target="_blank">PF16413</a> <a href="http://pfam.xfam.org/family/PF01119" target="_blank">PF01119</a>
ME000152S01274	ME000152S01274	<a href="http://amigo.geneontology.org/amigo/term/GO:0003755" target="_blank">peptidyl-prolyl cis-trans isomerase activity (GO:0003755)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000413" target="_blank">protein peptidyl-prolyl isomerization (GO:0000413)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00160" target="_blank">PF00160</a>
ME000152S01276	ME000152S01276	<a href="http://amigo.geneontology.org/amigo/term/GO:0030246" target="_blank">carbohydrate binding (GO:0030246)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF01301" target="_blank">PF01301</a> <a href="http://pfam.xfam.org/family/PF17834" target="_blank">PF17834</a> <a href="http://pfam.xfam.org/family/PF02140" target="_blank">PF02140</a>
ME000152S01277	ME000152S01277	<a href="http://amigo.geneontology.org/amigo/term/GO:0046933" target="_blank">proton-transporting ATP synthase activity, rotational mechanism (GO:0046933)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015986" target="_blank">ATP synthesis coupled proton transport (GO:0015986)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0045261" target="_blank">proton-transporting ATP synthase complex, catalytic core F(1) (GO:0045261)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02115" target="_blank">K02115</a>	<a href="http://pfam.xfam.org/family/PF00231" target="_blank">PF00231</a>
ME000152S01278	ME000152S01278	<a href="http://amigo.geneontology.org/amigo/term/GO:0008703" target="_blank">5-amino-6-(5-phosphoribosylamino)uracil reductase activity (GO:0008703)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009231" target="_blank">riboflavin biosynthetic process (GO:0009231)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K11752" target="_blank">K11752</a>	<a href="http://pfam.xfam.org/family/PF01872" target="_blank">PF01872</a> <a href="http://pfam.xfam.org/family/PF08719" target="_blank">PF08719</a>
ME000152S01279	ME000152S01279	<a href="http://amigo.geneontology.org/amigo/term/GO:0008081" target="_blank">phosphoric diester hydrolase activity (GO:0008081)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006629" target="_blank">lipid metabolic process (GO:0006629)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF03009" target="_blank">PF03009</a>
ME000152S01281	ME000152S01281	<a href="http://amigo.geneontology.org/amigo/term/GO:0004553" target="_blank">hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005975" target="_blank">carbohydrate metabolic process (GO:0005975)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K15925" target="_blank">K15925</a>	<a href="http://pfam.xfam.org/family/PF01055" target="_blank">PF01055</a> <a href="http://pfam.xfam.org/family/PF16863" target="_blank">PF16863</a> <a href="http://pfam.xfam.org/family/PF13802" target="_blank">PF13802</a>
ME000152S01282	ME000152S01282	<a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00826" target="_blank">K00826</a>	<a href="http://pfam.xfam.org/family/PF01063" target="_blank">PF01063</a>
ME000152S01283	ME000152S01283	<a href="http://amigo.geneontology.org/amigo/term/GO:0097367" target="_blank">carbohydrate derivative binding (GO:0097367)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:1901135" target="_blank">carbohydrate derivative metabolic process (GO:1901135)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00820" target="_blank">K00820</a>	<a href="http://pfam.xfam.org/family/PF01380" target="_blank">PF01380</a> <a href="http://pfam.xfam.org/family/PF13522" target="_blank">PF13522</a> <a href="http://pfam.xfam.org/family/PF13537" target="_blank">PF13537</a> <a href="http://pfam.xfam.org/family/PF00856" target="_blank">PF00856</a> <a href="http://pfam.xfam.org/family/PF13230" target="_blank">PF13230</a>
