Cre01.g000050.t1.1	Putative RWP-RK domain transcription factor, however the domain is non-canonical (RWPaqk)
Cre16.g678773.t1.1	NAD(P)-dependent 3-beta hydroxysteroid dehydrogenase/isomerase	NAD(P)-dependent 3-beta hydroxysteroid dehydrogenase/isomerase
Cre16.g679109.t1.1	Contains 2 DUF395 domains, found in YeeE and YedE from Escherichia coli. These proteins are integral membrane proteins of unknown function. Many of these proteins contain two homologous regions that are represented by this entry. This region contains seve	Contains 2 DUF395 domains, found in YeeE and YedE from Escherichia coli. These proteins are integral membrane proteins of unknown function. Many of these proteins contain two homologous regions that are represented by this entry. This region contains seve
Cre16.g679221.t1.1	Contains 6 ankyrin repeats; ankyrin repeats fold into a helix-loop-helix structure with a beta-hairpin/loop region projecting out from the helices at a 90 degree angle	Contains 6 ankyrin repeats; ankyrin repeats fold into a helix-loop-helix structure with a beta-hairpin/loop region projecting out from the helices at a 90 degree angle
Cre16.g679250.t1.2	Early light-inducible protein
Cre16.g679445.t1.1	Similar to putative cyanobacterial secreted and surface proteins [PMID: 7925267]; contains 1 FAS1 (BIgH3) domains, involved in cell recognition; probably extracellular (by homology)	Similar to putative cyanobacterial secreted and surface proteins [PMID: 7925267]; contains 1 FAS1 (BIgH3) domains, involved in cell recognition; probably extracellular (by homology)
Cre16.g679500.t1.2	NADH:ubiquinone oxidoreductase (Complex I) B8 subunit, mitochondrial; [=NDUFA2 subunit]; gi|34328790|gb|AAQ63699.1| [PMID: 15450959; PMID: 15710684]
Cre16.g679550.t1.1	Flagellar Associated Protein similar to protease inhibitor; found in the flagellar proteome [PMID: 15998802]; transcript upregulated during flagellar regeneration [PMID: 15738400]
Cre16.g679557.t1.1	Protein contains the fasciclin FAS1 domain (= BIgH3 domain), which is an extracellular module of about 140 amino acid residues; it has been suggested that the FAS1 domain represents an ancient cell adhesion domain common to plants and animals; similar to 	Protein contains the fasciclin FAS1 domain (= BIgH3 domain), which is an extracellular module of about 140 amino acid residues; it has been suggested that the FAS1 domain represents an ancient cell adhesion domain common to plants and animals; similar to 
Cre16.g679669.t1.1	4-diphosphocytidyl-2C-methyl-D-erythritol synthase (2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase) (MEP cytidylyltransferase) (MCT) (ispD) (ygbP), chloroplast precursor
Cre16.g679850.t1.1	Similar to membrane guanylyl cyclase OlGC7 [Danio rerio]
Cre16.g679900.t1.2	Putative homologue of yeast 5'-3' exoribonucleases Xrn1p(cytoplasmic) and Rat1p (nuclear).
Cre16.g679950.t1.2	Homologous to eukaryotic RFC3 (DNA replication factor C complex subunit 3); accessory protein of DNA polymerase
Cre16.g680000.t1.2	Mitochondrial ATP synthase, H+ transporting, subunit 5, Oligomycin sensitivity conferral protein (OSCP) or O subunit. Component of the peripheral stalk that links F1 and F0 domains. Homologous to the bacterial ATP synthase delta subunit (but not to the eu
Cre16.g680050.t1.1	DRAP1-like protein; Dr1-associated corepressor (Dr1-associated protein 1)
Cre16.g680230.t1.1	Expressed Protein. Conserved protein similar to SEC61 gamma subunit involved in ER protein translocation.  Early zygote expressed protein activated upon fus mating [PMID: 18487630]	Expressed Protein. Conserved protein similar to SEC61 gamma subunit involved in ER protein translocation.  Early zygote expressed protein activated upon fus mating [PMID: 18487630]
Cre16.g680342.t1.1	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]
Cre16.g680678.t1.1	RNase Z-like protein, beta-lactamase family
Cre16.g680900.t1.2	DNA-directed RNA polymerase II largest subunit(EC 2.7.7.6)
Cre16.g681301.t1.1	Identified by comparative genomics as being present only in organisms having motile (MOT) cilia	Identified by comparative genomics as being present only in organisms having motile (MOT) cilia
Cre16.g681450.t1.2	Protein of unknown function with ankyrin repeats
Cre16.g681578.t1.1	Subunit of anaphase promoting complex. Homolog of CDC23.
Cre16.g681700.t1.1	Related to NUOS4 encoding NADH:ubiquinone oxidoreductase (Complex I) 18 kD-like subunit (45% id.) [PMID: 15710684]
Cre16.g681700.t2.1	Related to NUOS4 encoding NADH:ubiquinone oxidoreductase (Complex I) 18 kD-like subunit (45% id.) [PMID: 15710684]
Cre16.g681700.t3.1	Related to NUOS4 encoding NADH:ubiquinone oxidoreductase (Complex I) 18 kD-like subunit (45% id.) [PMID: 15710684]
Cre16.g681900.t1.2	Expressed Protein. Thylakoid membrane protein translocase. Involved in translocating plastid stromal proteins into the thylakoid lumen.  Previously annotated as SECY1
Cre16.g682300.t1.2	Cytosolic 80S ribosomal protein S26; Cytosolic 40S small ribosomal subunit protein S26
Cre16.g682369.t1.1	Heavy metal transporting ATPase (HMA), P-type ATPase superfamily, membrane protein; copper-transporting P-type ATPase, related to AtRAN1 and AtHMA5 [PMID: 15710683]
Cre16.g682725.t1.1	Expression is induced by various oxidative stress conditions [PMID: 17435007; PLANT SCIENCE 168:747-759], glutathione S-transferase (sigma class) (GST class-sigma) (Glutathione-dependent PGD synthetase) (Prostaglandin-H2 D-isomerase) (Hematopoietic prosta	Expression is induced by various oxidative stress conditions [PMID: 17435007; PLANT SCIENCE 168:747-759], glutathione S-transferase (sigma class) (GST class-sigma) (Glutathione-dependent PGD synthetase) (Prostaglandin-H2 D-isomerase) (Hematopoietic prosta
Cre16.g682900.t1.2	Chloroplast Clp protease, ClpP complex, non-catalytic subunit 2, chloroplast-targeted; PMID: 16262695
Cre16.g682900.t2.1	Chloroplast Clp protease, ClpP complex, non-catalytic subunit 2, chloroplast-targeted; PMID: 16262695
Cre16.g682950.t1.1	Forms a sliding clamp complex with Hus1 and Rad1 that mediates repair at sites of DNA damage.  Homolog of yeast DDC1 [PMID: 17992532]
Cre16.g683050.t1.1	Candidate chloroplastic ribonuclease J (RNase J), which has both RNase E-like endoribonuclease and 5'-3' exoribonuclease activity. In Chlamydomonas, an alternate splice variant in the C-terminal region has been observed.
Cre16.g683371.t1.1	Pyridoxal-dependent decarboxylase acting on ornithine to produce putrescine, first step in polyamine biosynthesis(PMID: 11950995); fully active, based on conservation of important residues (PMID: 16847581), in particular a conserved lysine residue which i	Pyridoxal-dependent decarboxylase acting on ornithine to produce putrescine, first step in polyamine biosynthesis(PMID: 11950995); fully active, based on conservation of important residues (PMID: 16847581), in particular a conserved lysine residue which i
Cre16.g683483.t1.1	Conserved expressed protein of unknown function; similar to proteins from many eukaryotes, though it lacks any known domains. Presumably sxpressed from dicistronic message and involved in DNA repair, [see PMID: 12697762]; Expressed Protein. Putatively inv	Conserved expressed protein of unknown function; similar to proteins from many eukaryotes, though it lacks any known domains. Presumably sxpressed from dicistronic message and involved in DNA repair, [see PMID: 12697762]; Expressed Protein. Putatively inv
Cre16.g683595.t1.1	Related to Ca2+/Na+ exchanger; cation exchanger family (CAX) [PMID: 15710683]	Related to Ca2+/Na+ exchanger; cation exchanger family (CAX) [PMID: 15710683]
Cre16.g683750.t1.2	Putative peroxisomal membrane (22 kDa) family protein, Mpv17/PMP22 family.  The 22-kDa peroxisomal membrane protein (PMP22) is a major component of peroxisomal membranes.
Cre16.g683850.t1.1	Glycerophosphodiester phosphodiesterase.  Previously annotated as GDPD1
Cre16.g683900.t1.1	Glycerophosphoryl diester phosphodiesterase family protein.  Previously annotated as GDPD2
Cre16.g683950.t1.2	Expressed Protein. Similar to the Alpha subunit of the Signal Recognition Particle (SRP) Receptor. Involved in Protein Translocation across the ER membrane. Contains GTPase and AAA-ATPase domains.  Previously annotated as SRRA1
Cre16.g684600.t1.2	Expressed Protein. Contains regions similar to SEC5, a component of the exocyst complex involved in secretion/exocytosis; model needs editing and more cDNA support
Cre16.g684715.t1.1	Dicer-like protein presumably involved in posttranscriptional gene silencing/RNA interference	Dicer-like protein presumably involved in posttranscriptional gene silencing/RNA interference
Cre16.g685050.t1.1	Related to PRLI-interacting factor L. Putative mitochondrial matrix protein. Three paralogous genes are located in tandem repeats. Also homologous to PRLI-interacting factor L in Arabidopsis [PMID: 9765207]; regulated by CCM1 [PMID: 15235119]; Acclimation
Cre16.g685277.t1.1	Expressed protein. Mu2-Adaptin, clathrin adaptor complex medium subunit, putative member of AP-2 complex	Expressed protein. Mu2-Adaptin, clathrin adaptor complex medium subunit, putative member of AP-2 complex
Cre16.g685400.t1.2	Short-chain dehydrogenase/reductase, possibly protochlorophyllide reductase or retinol dehydrogenase.  Similar to Tic32 from Pisum sativum (AAS38575); belongs to the classical family of short chain dehydrogenases [PMID: 15180984].  Previously annotated as
Cre16.g685450.t1.1	Flagellar inner arm dynein heavy chain, dynein e (monomeric).  Identified in Chlamydomonas flagella in mass spec proteomic study by Yagi et al. [PMID: 19351714]
Cre16.g685550.t1.2	O-acetylserine sulfhydrylase (O-acetylserine (Thiol)-lyase), (CYSL). Two alternative mRNAs are produced by this gene (PMID:10491132); the encoded proteins are both predicted to be organelle-targeted.  Previously annotated as OASTL4.  Also known as Cys1A
Cre16.g685573.t1.1	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]
Cre16.g685650.t1.1	Ionotropic glutamate receptor.  Contains a short LSU-rRNA motif on the opposite strand (5162821-5162909), in intronic region
Cre16.g685900.t1.2	Protein-/Histone-arginine N-methyltransferase, ChromDB PRMT3403; putative ortholog of Homo sapiens PRMT3 and Arabidopsis thaliana At3g12270; a cytoplasmic, type I ribosomal PRMT
Cre16.g686200.t1.1	Trehalose-6-phosphate synthase/phosphatase
Cre16.g686750.t1.2	Putative phosphate transporter homolog type A-4, similar to yeast Pho84 H+/Pi symporter; clusters with PTA2 and PTA4 on scaffold 14. gi|21218043|dbj|AB074876.1
Cre16.g686800.t1.2	Putative phosphate transporter homolog type A-2, splice variant b, similar to yeast Pho84 H+/Pi symporter; clusters with PTA3 and PTA4 on scaffold 14. This putative splice variant is not supported by EST evidence, but the model produces a gene product tha
Cre16.g686850.t1.2	Putative phosphate transporter homolog type A-4, similar to yeast Pho84 H+/Pi symporter; clusters with PTA2 and PTA3 on scaffold 14.
Cre16.g686950.t1.2	CTF18-related; an RFC complex required for sister chromatid cohesion contains the RFC1-like Ctf18 subunit.
Cre16.g687500.t1.1	ChromDB ARP3404, similar to Arp2 of the Arp2/3 complex
Cre16.g687518.t1.1	Eukaryotic initiation factor 2B subunit 1, eIF-2B alpha subunit, 26kD.  eIF-2B is a complex of five subunits that functions as a guanine nucleotide exchange factor for the eukaryotic initiation factor 2 eIF2; it converts the inactive eIF2-GDP to the activ	Eukaryotic initiation factor 2B subunit 1, eIF-2B alpha subunit, 26kD.  eIF-2B is a complex of five subunits that functions as a guanine nucleotide exchange factor for the eukaryotic initiation factor 2 eIF2; it converts the inactive eIF2-GDP to the activ
Cre16.g687650.t1.1	Protein of unknown function with ankyrin repeats
Cre16.g687854.t1.1	Contains FAS1 domain.  Note: overlaps FAP5 gene model in v3.	Contains FAS1 domain.  Note: overlaps FAP5 gene model in v3.
Cre16.g687950.t1.2	Electron transfer flavoprotein alpha-subunit-like, mitochondrial; The electron transfer flavoprotein serves as a specific electron acceptor for several dehydrogenases, including five acyl-CoA dehydrogenases, glutaryl-CoA and sarcosine dehydrogenase. It tr
Cre16.g687966.t1.1	Conserved uncharacterized Flagellar Associated Protein; found in the flagellar proteome [PMID: 15998802].  Possible kinesin	Conserved uncharacterized Flagellar Associated Protein; found in the flagellar proteome [PMID: 15998802].  Possible kinesin
Cre16.g688000.t1.1	Mitochondrial substrate carrier protein.  Previously annotated as MITC2
Cre16.g688450.t1.2	Similar to C21orf59 (CTO59); identified in the Flagellar basal body proteome [PMID: 15137946]; upregulated by deflagellation
Cre16.g688550.t1.2	Glutathione S-transferases (Sigma class), Gene expression is induced by various oxidative stress conditions [PMID: 17435007; PLANT SCIENCE 168: 747-759].  Possible prostaglandin-D synthase activity.  Previously annotated as GSTS1
Cre16.g688638.t1.1	Similar to membrane guanylyl cyclase OlGC7 [Oryzias latipes]	Similar to membrane guanylyl cyclase OlGC7 [Oryzias latipes]
Cre16.g688650.t1.2	Identified by comparative genomics as being present only in organisms having motile (MOT) cilia
Cre16.g688850.t1.1	Membrane hexose/glycerol-3-phosphate transporter, Major Facilitator Superfamily; similarity to bacterial transporter uphT and to uhpC, with dual transport and sensing role for glucose-6-phosphate; also to a putative glycerol-3-phosphate transporter of Cya
Cre16.g689100.t1.1	RNA pseudouridine synthase
Cre16.g689150.t1.2	Sulfolipid synthase, adds sulfoquinovose to diacylglycerol to produce the plant sulfolipid, sulfoquinovosyldiacylglycerol; glycosyl transferase also previously annotated as GTR23
Cre16.g689300.t1.1	Serine/Threonine protein kinase.  Previously annotated as STPK24 and PTK27 (for protein tyrosine kinase)
Cre16.g689550.t1.1	Putative tyrosine kinase identified through multi-level HMM library for kinase classification (PMID: 17557329)
Cre16.g689600.t1.2	Conserved uncharacterized Flagellar Associated Protein; found in the flagellar proteome [PMID: 15998802]
Cre16.g689650.t1.2	Expressed Protein. Conserved protein. Similar to Aut7p/Apg8p, an ubiquitin-like protein that is conjugated to other proteins during autophagy  A microtubule-associated protein
Cre16.g690050.t1.2	Holocytochrome c synthase, cytochrome C1 heme lyase (CC1HL) [PMID: 14514677]; related to animal cyt c biogenesis pathways
Cre16.g690100.t1.2	Flagellar Associated Protein, coiled coil; found in the flagellar proteome [PMID: 15998802]
Cre16.g690200.t1.2	Putative translocase of the mitochondrial inner membrane, mediates the insertion of both mitochondrial- and nuclear-encoded proteins from the matrix into the inner membrane (similar to yeast COX18 and OXA1 proteins, human and plant OXA1 protein); PMID: 15
Cre16.g690400.t1.1	DnaJ-like protein; similar to Q4DN10 from Trypanosoma cruzi; TargetP predicts both proteins to secretory pathway (reliability score 1 for T. cruzi, score 3 for DNJ5); contains C-terminal J-domain (pfam00226)
Cre16.g690450.t1.1	Conserved uncharacterized Flagellar Associated Protein; found in the flagellar proteome [PMID: 15998802]
Cre16.g690500.t1.2	Structural Component of H/ACA snoRNPs which catalyze the snoRNA-guided pseudouridylation of the pre-rRNA and other RNA molecules; possesses homology to ribosomal protein L7
